Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
2017-11-15,152.61,153.0,151.78,152.59,24762217.0,148.2558,145.2674,-0.004707429418718571,0.12033566862016097,0.0233
2017-11-16,153.38,154.89,153.33,154.54,34729258.0,148.4372,145.4325,0.012698376601793519,0.1253831578978083,0.023700000000000002
2017-11-17,154.58,154.69,153.8,153.95,28725800.0,148.632,145.5718,-0.003825088134928436,0.12706828528843012,0.0235
2017-11-20,154.08,154.2,153.61,153.83,21126898.0,148.7912,145.7342,-0.0007797778028495344,0.1236916283583357,0.023700000000000002
2017-11-21,154.56,155.57,154.49,155.5,20147763.0,148.9768,145.9128,0.010797635051629083,0.1275348476940063,0.0236
2017-11-22,155.63,155.84,155.341,155.69,17254888.0,149.16219999999998,146.1078,0.001221119082294412,0.1254931792768348,0.0232
2017-11-24,155.86,156.31,155.76,156.26,8280586.0,149.3762,146.2951,0.003654435867015013,0.12354861708488207,0.023399999999999997
2017-11-27,156.2,156.56,155.83,156.19,22653389.0,149.5788,146.4941,-0.00044807169896716515,0.07839344645668084,0.0232
2017-11-28,156.52,156.69,155.7,156.59,24446088.0,149.7996,146.6824,0.0025577096877204344,0.07843481722879266,0.023399999999999997
2017-11-29,156.41,156.45,153.12,153.86,71986338.0,149.9608,146.83440000000002,-0.017587826526562916,0.1033743976976152,0.023700000000000002
2017-11-30,154.51,155.45,154.15,155.15,56595465.0,150.1568,146.99540000000002,0.008349292863600593,0.10691511299879039,0.0242
2017-12-01,154.2,155.24,152.26,154.49,59015828.0,150.35739999999998,147.1333,-0.0042630215704308715,0.10808282036799594,0.023700000000000002
2017-12-04,155.47,155.625,152.56,152.71,51243858.0,150.5252,147.2503,-0.011588671358868164,0.11154486674072916,0.023700000000000002
2017-12-05,152.64,154.55,152.1,152.81,40555384.0,150.7254,147.3572,0.0006546216520757201,0.11080422561431758,0.0236
2017-12-06,152.26,153.735,152.06,153.5,28566078.0,150.93200000000002,147.4703,0.004505247410085969,0.11209500221093606,0.0233
2017-12-07,153.49,154.46,153.33,154.02,32666207.0,151.1232,147.5791,0.0033818970838522967,0.11180415891912304,0.023700000000000002
2017-12-08,155.15,155.53,154.46,154.7,28081666.0,151.329,147.6863,0.004405293467916197,0.11121626779850668,0.023799999999999998
2017-12-11,154.77,155.95,154.76,155.9,20821528.0,151.538,147.8036,0.007727018484710591,0.11424948044744822,0.0239
2017-12-12,155.83,156.15,155.36,155.69,20310252.0,151.74020000000002,147.9194,-0.0013479253621477443,0.11446183476870173,0.024
2017-12-13,156.32,156.49,155.76,155.99,24418479.0,151.94219999999999,148.0316,0.0019250519291942045,0.11343224808651964,0.0236
2017-12-14,156.26,156.66,155.71,155.88,24594682.0,152.1392,148.1464,-0.000705422160268921,0.11170030373241585,0.0235
2017-12-15,156.49,157.82,156.23,157.65,49816151.0,152.34300000000002,148.2742,0.011290905520561305,0.10985283474067001,0.0235
2017-12-18,158.36,158.77,158.07,158.64,26844519.0,152.5626,148.421,0.006260098220470681,0.1098152691895448,0.0239
2017-12-19,158.34,158.5,157.26,157.7,31414968.0,152.7668,148.55960000000002,-0.005942990242547784,0.1127279921840266,0.0246
